competition_name,city,start_date,end_date,competition_type,competition_id
Puchar Polski,TYSZOWCE,2015-11-20,2015-11-21,Puchar Polski,552177
Młodzieżowe Mistrzostwa Polski,KROTOSZYN,2020-09-05,2020-09-06,Mistrzostwa Polski,990308
Puchar Polski,SIEDLCE - STOK LACKI,2019-11-16,2019-11-17,Puchar Polski,1068327
Puchar Polski,SIEDLCE - STOK LACKI,2020-07-17,2020-07-18,Puchar Polski,1523245
Międzywojewódzkie Mistrzostwa- Strefa A,GORZÓW WLKP.,2015-06-05,2015-06-06,Miedzywojewódzkie Mistrzostwa Młodzików,1900023
Mistrzostwa Polski,PYRZYCE,2014-06-21,2014-06-22,Mistrzostwa Polski,2764365
Mistrzostwa Polski,ROPCZYCE,2021-03-13,2021-03-14,Mistrzostwa Polski,3047711
Międzywojewódzkie Mistrzostwa StrefaD,OLSZTYN,2016-10-28,2016-10-29,Miedzywojewódzkie Mistrzostwa Młodzików,3916587
Puchar Polski,DĘBICA,2021-02-13,2021-02-14,Puchar Polski,4146319
Międzywojewódzkie Mistrzostwa- Strefa C,ROPCZYCE,2015-10-02,2015-10-03,Miedzywojewódzkie Mistrzostwa Młodzików,6726047
Puchar Polski,KROTOSZYN,2019-12-07,2019-12-08,Puchar Polski,8028529
Mistrzostwa Polski,PYRZYCE,2017-09-15,2017-09-16,Mistrzostwa Polski,8841900
Puchar Polski,KROTOSZYN,2017-02-25,2017-02-25,Puchar Polski,9476304
Mistrzostwa Polski,POZNAŃ,2016-04-08,2016-04-09,Mistrzostwa Polski,11434887
Puchar Polski,TYSZOWCE,2016-11-11,2016-11-12,Puchar Polski,11520620
Mistrzostwa Polski,BIELAWA,2019-06-14,2019-06-15,Mistrzostwa Polski,12520485
Międzywojewódzkie Mistrzostwa-Strefa A,PYRZYCE,2017-05-26,2017-05-27,Miedzywojewódzkie Mistrzostwa Młodzików,13207079
Puchar Polski,KROTOSZYN,2020-12-11,2020-12-12,Puchar Polski,13401699
Puchar Polski,KWIDZYN,2021-03-05,2021-03-06,Puchar Polski,14569551
Puchar Polski,DĘBICA,2018-02-24,2018-02-27,Puchar Polski,15002322
Międzywojewódzkie Mistrzostwa,WOCŁAW JELCZ-LASKOWICE,2016-06-18,2016-06-19,Miedzywojewódzkie Mistrzostwa Młodzików,17525716
Mistrzostwa Polski,LUBLIN,2016-09-09,2016-09-10,Mistrzostwa Polski,18010632
Mistrzostwa Polski,STRZELCE OP.,2017-04-01,2017-04-02,Mistrzostwa Polski,20362198
Mistrzostwa Polski,SUWAŁKI,2021-05-29,2021-05-29,Mistrzostwa Polski,20418158
Puchar Polski,KROTOSZYN,2016-02-20,2016-02-21,Puchar Polski,20965747
Puchar Polski,WARSZAWA,2016-12-02,2016-12-03,Puchar Polski,21615518
Puchar Polski,GORZÓW WIELKOPOLSKI,2019-09-06,2019-09-07,Puchar Polski,22136171
Mistrzostwa Polski,KROTOSZYN,2020-09-05,2020-09-06,Mistrzostwa Polski,22291941
Młodzieżowe Mistrzostwa Polski,MYŚLENICE,2019-02-23,2019-02-24,Mistrzostwa Polski,24586665
Mistrzostwa Polski,ROPCZYCE,2018-10-05,2018-10-06,Mistrzostwa Polski,24717984
Międzywojewódzkie Mistrzostwa Młodzików stefa B,STRZELCE OPOLSKIE,2018-09-07,2018-09-08,Miedzywojewódzkie Mistrzostwa Młodzików,24863236
Puchar Polski,KROTOSZYN,2020-12-12,2020-12-13,Puchar Polski,26839583
Międzywojewódzkie Mistrzostwa- Strefa D,WARSZAWA,2017-06-16,2017-06-17,Miedzywojewódzkie Mistrzostwa Młodzików,27154670
Mistrzostwa Polski,SIEDLCE,2015-04-11,2015-04-12,Mistrzostwa Polski,27375740
Międzywojewódzkie Mistrzostwa Młodzików Strefy C,ZAMOŚĆ,2020-09-19,2020-09-19,Miedzywojewódzkie Mistrzostwa Młodzików,27937498
Międzywojewódzkie Mistrzostwa Młodzików strefy A,POZNAŃ,2020-11-07,2020-11-07,Miedzywojewódzkie Mistrzostwa Młodzików,28163938
Mistrzostwa Polski,BRZEG DOLNY,2020-10-09,2020-10-10,Mistrzostwa Polski,30302234
Puchar Polski,WARSZAWA,2018-11-10,2018-11-11,Puchar Polski,30624115
Międzywojewódzkie Mistrzostwa-Strefa B,MYŚLENICE,2017-05-05,2017-05-06,Miedzywojewódzkie Mistrzostwa Młodzików,31837256
Mistrzostwa Polski,MYŚLENICE,2018-09-29,2018-09-30,Mistrzostwa Polski,31848144
Mistrzostwa Polski,KROTOSZYN,2019-03-30,2019-03-31,Mistrzostwa Polski,32086584
Mistrzostwa Polski,KWIDZYN,2021-03-05,2021-03-06,Mistrzostwa Polski,32717271
Międzywojewódzkie Mistrzostwa - Strefa A,GORZÓW WLKP.,2015-06-05,2015-06-06,Miedzywojewódzkie Mistrzostwa Młodzików,33523600
Międzynarodowe Mistrzostwa Polski,KROTOSZYN,2017-06-23,2017-06-24,Mistrzostwa Polski,33989154
Międzywojewódzkie Mistrzostwa-Strefa B,SKARBIMIERZ,2015-09-18,2015-09-19,Miedzywojewódzkie Mistrzostwa Młodzików,35289976
Młodzieżowe Mistrzostwa Polski,STRZELCE OP.,2017-04-01,2017-04-02,Mistrzostwa Polski,36536087
Puchar Polski,KROTOSZYN,2017-02-25,2017-02-26,Puchar Polski,36553201
Puchar Polski,ZAMOŚĆ,2019-03-09,2019-03-10,Puchar Polski,39547039
Mistrzostwa Polski,LUBLIN,2019-06-01,2019-06-02,Mistrzostwa Polski,40098339
